Parameters,LP_TIME,MIP_TIME,CP_TIME,GREEDY_TIME,LOCAL_SEARCH_TIME,MAX_FLOW_TIME
"N=5, M=3, b=2",0.038,0.055,0.051,0.001,0.001,0.345
"N=200, M=30, b=3",0.177,0.188,0.547,0.006,0.006,0.496
"N=700, M=70, b=3",1.181,1.043,2.124,0.021,0.026,0.316
"N=900, M=90, b=3",1.89,2.405,2.969,0.039,0.07,0.375
"N=900, M=90, b=3",1.802,1.727,3.241,0.033,0.038,0.3431
"N=10, M=5, b=2",0.018,0.025,0.065,0.0,0.001,0.333
"N=400, M=40, b=3",0.423,0.562,0.891,0.01,0.01,0.316
"N=1000, M=100, b=3",2.426,1.991,2.65,0.045,0.045,0.3221
"N=500, M=40, b=3",1.011,1.592,1.44,0.012,0.016,0.615
"N=100, M=20, b=3",0.13,0.115,0.285,0.004,0.003,0.434
